Year,Selection,Category,Percentage
2022,"All Workforce","Enjoy teaching","0.72"
2022,"All Workforce","Rewarding profession","0.67"
2022,"All Workforce","School culture","0.47"
2022,"All Workforce","Skills not transferable","0.10"
2022,"All Workforce","Well paid","0.16"
2022,"Casuals","Enjoy teaching","0.72"
2022,"Casuals","Rewarding profession","0.64"
2022,"Casuals","School culture","0.41"
2022,"Casuals","Skills not transferable","0.06"
2022,"Casuals","Well paid","0.25"
2022,"Classroom teachers","Enjoy teaching","0.77"
2022,"Classroom teachers","Rewarding profession","0.67"
2022,"Classroom teachers","School culture","0.47"
2022,"Classroom teachers","Skills not transferable","0.11"
2022,"Classroom teachers","Well paid","0.15"
2022,"Deployed","Enjoy teaching","0.73"
2022,"Deployed","Rewarding profession","0.68"
2022,"Deployed","School culture","0.48"
2022,"Deployed","Skills not transferable","0.11"
2022,"Deployed","Well paid","0.15"
2022,"ELC deployed","Enjoy teaching","0.63"
2022,"ELC deployed","Rewarding profession","0.72"
2022,"ELC deployed","School culture","0.39"
2022,"ELC deployed","Skills not transferable","0.09"
2022,"ELC deployed","Well paid","0.13"
2022,"ELC leaders","Enjoy teaching","0.52"
2022,"ELC leaders","Rewarding profession","0.72"
2022,"ELC leaders","School culture","0.43"
2022,"ELC leaders","Skills not transferable","0.12"
2022,"ELC leaders","Well paid","0.17"
2022,"ELC teachers","Enjoy teaching","0.67"
2022,"ELC teachers","Rewarding profession","0.72"
2022,"ELC teachers","School culture","0.37"
2022,"ELC teachers","Skills not transferable","0.09"
2022,"ELC teachers","Well paid","0.12"
2022,"Full-time teachers","Enjoy teaching","0.77"
2022,"Full-time teachers","Rewarding profession","0.68"
2022,"Full-time teachers","School culture","0.47"
2022,"Full-time teachers","Skills not transferable","0.12"
2022,"Full-time teachers","Well paid","0.14"
2022,"Middle leaders","Enjoy teaching","0.74"
2022,"Middle leaders","Rewarding profession","0.68"
2022,"Middle leaders","School culture","0.50"
2022,"Middle leaders","Skills not transferable","0.10"
2022,"Middle leaders","Well paid","0.16"
2022,"Non-deployed workforce","Enjoy teaching","0.69"
2022,"Non-deployed workforce","Rewarding profession","0.60"
2022,"Non-deployed workforce","School culture","0.40"
2022,"Non-deployed workforce","Skills not transferable","0.08"
2022,"Non-deployed workforce","Well paid","0.14"
2022,"Non-deployed workforce (leave)","Enjoy teaching","0.69"
2022,"Non-deployed workforce (leave)","Rewarding profession","0.60"
2022,"Non-deployed workforce (leave)","School culture","0.40"
2022,"Non-deployed workforce (leave)","Skills not transferable","0.08"
2022,"Non-deployed workforce (leave)","Well paid","0.14"
2022,"Part-time teachers","Enjoy teaching","0.78"
2022,"Part-time teachers","Rewarding profession","0.65"
2022,"Part-time teachers","School culture","0.46"
2022,"Part-time teachers","Skills not transferable","0.09"
2022,"Part-time teachers","Well paid","0.16"
2022,"School deployed","Enjoy teaching","0.73"
2022,"School deployed","Rewarding profession","0.67"
2022,"School deployed","School culture","0.49"
2022,"School deployed","Skills not transferable","0.11"
2022,"School deployed","Well paid","0.15"
2022,"School leaders","Enjoy teaching","0.65"
2022,"School leaders","Rewarding profession","0.67"
2022,"School leaders","School culture","0.53"
2022,"School leaders","Skills not transferable","0.10"
2022,"School leaders","Well paid","0.17"
2022,"Senior leaders","Enjoy teaching","0.47"
2022,"Senior leaders","Rewarding profession","0.66"
2022,"Senior leaders","School culture","0.60"
2022,"Senior leaders","Skills not transferable","0.10"
2022,"Senior leaders","Well paid","0.19"
2022,"Teacher workforce","Enjoy teaching","0.72"
2022,"Teacher workforce","Rewarding profession","0.67"
2022,"Teacher workforce","School culture","0.47"
2022,"Teacher workforce","Skills not transferable","0.10"
2022,"Teacher workforce","Well paid","0.17"
"","","",""
"Data source: ATWD 2024, Teacher Survey (2018-2022)","","",""
"Figure: Reasons for staying, by workforce group","","",""
"","","",""
